Income Range,Magazine Promo,Watch Promo,Life Ins Promo,Credit Card Ins.,Sex,Age
"40-50,000",Yes,No,No,No,Male,45
"30-40,000",Yes,Yes,Yes,No,Female,40
"40-50,000",No,No,No,No,Male,42
"30-40,000",Yes,Yes,Yes,Yes,Male,43
"50-60,000",Yes,No,Yes,No,Female,38
"20-30,000",No,No,No,No,Female,55
"30-40,000",Yes,No,Yes,Yes,Male,35
"20-30,000",No,Yes,No,No,Male,27
"30-40,000",Yes,No,No,No,Male,43
"30-40,000",Yes,Yes,Yes,No,Female,41
"40-50,000",No,Yes,Yes,No,Female,43
"20-30,000",No,Yes,Yes,No,Male,29
"50-60,000",Yes,Yes,Yes,No,Female,39
"40-50,000",No,Yes,No,No,Male,55
"20-30,000",No,No,Yes,Yes,Female,19
